model_key,sample_size,outer_fold,projected,raw,delta_nRMSE,relative_change_percent,projection_improved
extra_trees_regressor,10000,3,0.5964420589214303,0.5583014309769487,0.03814062794448159,6.83154758850266,False
extra_trees_regressor,10000,4,0.6303705066562255,0.5616655359896481,0.06870497066657744,12.232363615745104,False
knn_regressor,500,0,0.7774698137776553,0.7118359874899843,0.065633826287671,9.220357981492821,False
knn_regressor,500,1,0.7470044327287642,0.7569140154151244,-0.009909582686360219,-1.309208507775533,True
knn_regressor,500,2,0.7653740914280913,0.7885227023871814,-0.023148610959090044,-2.935693657140081,True
knn_regressor,500,3,0.6928481325920884,0.7233704767822517,-0.03052234419016331,-4.219462249266099,True
knn_regressor,500,4,0.8701218463610507,0.7558354285498131,0.1142864178112376,15.12054258034897,False
knn_regressor,1450,0,0.6899679224624651,0.7112884235203613,-0.02132050105789618,-2.997448060854861,True
knn_regressor,1450,1,0.7179586790203211,0.7157207009997998,0.0022379780205212807,0.3126887370164115,False
knn_regressor,1450,2,0.7884253418055553,0.6970038524179738,0.09142148938758154,13.116353528094795,False
knn_regressor,1450,3,0.6334087580722265,0.6636850006094207,-0.030276242537194187,-4.561839202241032,True
knn_regressor,1450,4,0.6803521138859759,0.6597527629884633,0.020599350897512636,3.1222833844915394,False
knn_regressor,2400,0,0.6346155363331227,0.6549481137790465,-0.02033257744592376,-3.104456218463615,True
knn_regressor,2400,1,0.7197289227610945,0.7234787447970346,-0.003749822035940098,-0.5183043818366878,True
knn_regressor,2400,2,0.7849909241535431,0.6635894367559021,0.121401487397641,18.294668461140365,False
knn_regressor,2400,3,0.6258110469528164,0.6469952673263645,-0.021184220373548057,-3.2742465738720896,True
knn_regressor,2400,4,0.6413589634844917,0.6337753081484883,0.00758365533600347,1.1965842213320628,False
knn_regressor,3350,0,0.6468590077878955,0.6502735709906666,-0.003414563202771115,-0.5250964140475769,True
knn_regressor,3350,1,0.6811155067534906,0.6909301921169293,-0.009814685363438658,-1.4205031818580123,True
knn_regressor,3350,2,0.7437743204918373,0.6355214936596668,0.10825282683217052,17.03370034092692,False
knn_regressor,3350,3,0.6226398039874652,0.6359812364580726,-0.013341432470607373,-2.097771397299221,True
knn_regressor,3350,4,0.6260045710894556,0.6244124563784046,0.0015921147110510292,0.2549780509321199,False
knn_regressor,4300,0,0.6341232729890106,0.6342310179516957,-0.0001077449626850635,-0.016988283391284654,True
knn_regressor,4300,1,0.6369863590360058,0.6543391084450694,-0.017352749409063617,-2.6519505230704623,True
knn_regressor,4300,2,0.692775143154034,0.6284937518283961,0.06428139132563793,10.227848906792206,False
knn_regressor,4300,3,0.6306139531923262,0.6374789866735318,-0.006865033481205596,-1.0769034940317717,True
knn_regressor,4300,4,0.6337164528344259,0.6396240780383528,-0.005907625203926847,-0.9236089457490089,True
knn_regressor,5250,0,0.6269664093082068,0.6277967726707805,-0.0008303633625736939,-0.13226626811749162,True
knn_regressor,5250,1,0.6299444016949365,0.6440832350263583,-0.014138833331421852,-2.1951872929658287,True
knn_regressor,5250,2,0.6946604422605939,0.6298343393066324,0.06482610295396152,10.29256407729798,False
