model_key,sample_size,folds,raw_mass_violation_rate,projected_mass_violation_rate,raw_nonnegative_violation_rate,projected_nonnegative_violation_rate,raw_conservation_l2_mean,projected_conservation_l2_mean,standardized_displacement_l2_mean,backtracking_active_mean
multitask_elastic_net_regressor,3350,5,1.0,0.0,0.711044776119403,0.0,0.16340800695155103,4.202614372468224e-14,0.4864945240643408,0.0
multitask_elastic_net_regressor,4300,5,1.0,0.0,0.71,0.0,0.16399245080963637,4.187944892917421e-14,0.48229583053134206,0.0
multitask_elastic_net_regressor,500,5,1.0,0.0,0.73,0.0,0.17385237953890148,4.117718639128979e-14,0.5301287620691879,0.0
multitask_elastic_net_regressor,5250,5,1.0,0.0,0.7095238095238094,0.0,0.16398998037288798,4.1687270565266154e-14,0.4818822714432617,0.0
multitask_elastic_net_regressor,6200,5,1.0,0.0,0.7114516129032258,0.0,0.16401164035075583,4.1714016396137784e-14,0.48463641280094605,0.0
multitask_elastic_net_regressor,7150,5,1.0,0.0,0.7120279720279721,0.0,0.1637990442960201,4.1440626749735675e-14,0.4839386229001635,0.0
multitask_elastic_net_regressor,8100,5,1.0,0.0,0.7051851851851852,0.0,0.16313675975287067,4.177135721121834e-14,0.4818405468911632,0.0
multitask_elastic_net_regressor,9050,5,1.0,0.0,0.7081767955801105,0.0,0.16333772989660675,4.184305090710726e-14,0.4820025734541747,0.0
multitask_lasso_regressor,10000,5,1.0,0.0,0.7105,0.0,0.16679980007105666,4.12768905971217e-14,0.4817452005567759,0.0
multitask_lasso_regressor,1450,5,1.0,0.0,0.7289655172413794,0.0,0.16853146100624,4.080532441118851e-14,0.5006740726400025,0.0
multitask_lasso_regressor,2400,5,1.0,0.0,0.7212500000000001,0.0,0.1668539820587675,4.1261463078858046e-14,0.49451011889508634,0.0
multitask_lasso_regressor,3350,5,1.0,0.0,0.7104477611940299,0.0,0.16703854278181157,4.199858961510073e-14,0.48658570803798984,0.0
multitask_lasso_regressor,4300,5,1.0,0.0,0.71,0.0,0.1676630226972748,4.1714156837085054e-14,0.48239312971696463,0.0
multitask_lasso_regressor,500,5,1.0,0.0,0.73,0.0,0.17794817404202457,4.192680590291101e-14,0.5302280469347905,0.0
multitask_lasso_regressor,5250,5,1.0,0.0,0.7095238095238094,0.0,0.16759253672268853,4.142367119868983e-14,0.481970956641294,0.0
multitask_lasso_regressor,6200,5,1.0,0.0,0.7112903225806452,0.0,0.16754867566831594,4.165834504235725e-14,0.4847149102203378,0.0
multitask_lasso_regressor,7150,5,1.0,0.0,0.711888111888112,0.0,0.167341205428849,4.1518755811324735e-14,0.4840063845762271,0.0
multitask_lasso_regressor,8100,5,1.0,0.0,0.7050617283950616,0.0,0.1666977658152385,4.1587811182169774e-14,0.4819124972734933,0.0
multitask_lasso_regressor,9050,5,1.0,0.0,0.7081767955801105,0.0,0.1668477900180448,4.17289452169763e-14,0.48206697087040273,0.0
pls_regressor,10000,5,1.0,0.0,0.5431,0.0,21.337122583167442,4.1939501688969945e-14,1.8076872617112791,0.0093
pls_regressor,1450,5,1.0,0.0,0.5710344827586207,0.0,29.345642774038783,4.133258514268649e-14,1.8008127141019787,0.010344827586206896
pls_regressor,2400,5,1.0,0.0,0.5554166666666667,0.0,29.437755741255415,4.238456194353457e-14,1.8437037958812632,0.009166666666666667
pls_regressor,3350,5,1.0,0.0,0.551044776119403,0.0,27.989865823272503,4.150949662946187e-14,1.8659592077890075,0.009850746268656717
pls_regressor,4300,5,1.0,0.0,0.5518604651162791,0.0,25.067613184094856,4.169391248812299e-14,1.8860936998677604,0.010465116279069767
pls_regressor,500,5,1.0,0.0,0.538,0.0,27.821323441023992,4.2549620168389174e-14,1.7176248423204878,0.006
pls_regressor,5250,5,1.0,0.0,0.5420952380952382,0.0,24.91174033048493,4.230134471423871e-14,1.8370905788714544,0.009523809523809525
pls_regressor,6200,5,1.0,0.0,0.5483870967741936,0.0,25.035108962391227,4.1913045381027885e-14,1.8486403782789744,0.01032258064516129
pls_regressor,7150,5,1.0,0.0,0.546993006993007,0.0,23.11604096954455,4.1872158350662385e-14,1.8339028801801682,0.01048951048951049
pls_regressor,8100,5,1.0,0.0,0.5464197530864198,0.0,20.891788980672818,4.174760920355515e-14,1.8515531709549742,0.01037037037037037
pls_regressor,9050,5,1.0,0.0,0.5445303867403315,0.0,21.121991251441358,4.14078357220575e-14,1.8145237402281047,0.009944751381215469
random_forest_regressor,10000,5,1.0,0.0,0.0,0.0,15.62416533402517,4.244620952482197e-14,2.002453677855163,0.0142
random_forest_regressor,1450,5,1.0,0.0,0.0,0.0,18.13163545502693,4.144107690881713e-14,2.1143811007039623,0.018620689655172412
random_forest_regressor,2400,5,1.0,0.0,0.0,0.0,17.10962377008642,4.1871586132221697e-14,2.1030563597984,0.019583333333333335
random_forest_regressor,3350,5,1.0,0.0,0.0,0.0,16.520823411524688,4.1891027826327926e-14,2.0706910579104156,0.01701492537313433
random_forest_regressor,4300,5,1.0,0.0,0.0,0.0,16.29593746035472,4.261192202858936e-14,2.0397203453187256,0.016046511627906976
random_forest_regressor,500,5,1.0,0.0,0.0,0.0,20.14691543961823,4.310460050537434e-14,2.2645010283759586,0.03
random_forest_regressor,5250,5,1.0,0.0,0.0,0.0,16.074045495719396,4.236000181872825e-14,2.022484214107945,0.01504761904761905
random_forest_regressor,6200,5,1.0,0.0,0.0,0.0,16.022617812586095,4.2118719741652936e-14,2.0354786726027023,0.016451612903225804
random_forest_regressor,7150,5,1.0,0.0,0.0,0.0,15.935991686397566,4.213956624121136e-14,2.0314946524705175,0.015804195804195807
random_forest_regressor,8100,5,1.0,0.0,0.0,0.0,15.778937989571423,4.2283149260743437e-14,2.0219502302844647,0.015679012345679012
random_forest_regressor,9050,5,1.0,0.0,0.0,0.0,15.721362035339519,4.2499342870020575e-14,2.0115506610290987,0.013922651933701657
svr_regressor,10000,5,1.0,0.0,0.7678,0.0,3.275801384272994,4.214211296992084e-14,0.3632740006893152,0.0001
svr_regressor,1450,5,1.0,0.0,0.72,0.0,8.3024385768721,4.220510743852069e-14,0.5879775005057846,0.001379310344827586
svr_regressor,2400,5,1.0,0.0,0.7279166666666667,0.0,7.169931403729137,4.1500541175930444e-14,0.5392561463431933,0.00125
svr_regressor,3350,5,1.0,0.0,0.7402985074626866,0.0,6.466291380158431,4.217491274856208e-14,0.5095967693564238,0.0008955223880597015
svr_regressor,4300,5,1.0,0.0,0.7502325581395348,0.0,5.749237200966003,4.19262222099685e-14,0.4699965477146241,0.0006976744186046512
svr_regressor,500,5,1.0,0.0,0.6839999999999999,0.0,10.066959345570407,4.172263899547694e-14,0.6357673903530189,0.0
svr_regressor,5250,5,1.0,0.0,0.7493333333333333,0.0,5.116906678155454,4.204591968535875e-14,0.43290193128950605,0.00019047619047619048
svr_regressor,6200,5,1.0,0.0,0.7512903225806451,0.0,4.573528161591422,4.1967832045192575e-14,0.41527072397636877,0.0003225806451612903
svr_regressor,7150,5,1.0,0.0,0.7511888111888112,0.0,4.143418054876072,4.1613412796802365e-14,0.3970713641434261,0.0
svr_regressor,8100,5,1.0,0.0,0.7587654320987655,0.0,3.7748044071415814,4.217435435081339e-14,0.38175836065929963,0.0
svr_regressor,9050,5,1.0,0.0,0.7615469613259668,0.0,3.5105627434505093,4.227932440925425e-14,0.3738394571401332,0.00022099447513812157
xgboost_regressor,10000,5,1.0,0.0,0.39720000000000005,0.0,1.3770688396595498,4.247420449839334e-14,0.3002643510132572,0.0
xgboost_regressor,1450,5,1.0,0.0,0.35379310344827586,0.0,2.363598450697735,4.203089965785093e-14,0.48890141647008745,0.000689655172413793
xgboost_regressor,2400,5,1.0,0.0,0.3466666666666667,0.0,2.012586923715568,4.2652392726844206e-14,0.42925979742694487,0.00041666666666666664
xgboost_regressor,3350,5,1.0,0.0,0.34089552238805976,0.0,1.8445334758401877,4.213847322064903e-14,0.3878227027338816,0.00029850746268656717
xgboost_regressor,4300,5,1.0,0.0,0.34651162790697676,0.0,1.6882333161893566,4.2708021699599014e-14,0.3552567089874431,0.0
xgboost_regressor,500,5,1.0,0.0,0.33399999999999996,0.0,3.0750429499090983,4.449497142453965e-14,0.6264961461940526,0.0
xgboost_regressor,5250,5,1.0,0.0,0.35771428571428576,0.0,1.622565193608835,4.241054797638338e-14,0.34369530014598393,0.00019047619047619048
xgboost_regressor,6200,5,1.0,0.0,0.3696774193548387,0.0,1.5628119401374594,4.1960401114677185e-14,0.3291093624963694,0.0
xgboost_regressor,7150,5,1.0,0.0,0.3756643356643357,0.0,1.4863997702635448,4.219866890594045e-14,0.31943930958605965,0.0
xgboost_regressor,8100,5,1.0,0.0,0.3833333333333333,0.0,1.4416999883327672,4.259202689995719e-14,0.31260396319709194,0.0
xgboost_regressor,9050,5,1.0,0.0,0.3876243093922652,0.0,1.3981622735746453,4.224763660957047e-14,0.3079372712070812,0.0
