model_key,sample_size,folds,setup_seconds_mean,setup_seconds_sd,raw_latency_ms_mean,projection_latency_ms_mean,end_to_end_latency_ms_mean
knn_regressor,8100,5,0.01859943997114897,0.007582171657826097,0.1273428906188201,0.1350410938357527,0.29890916011936497
knn_regressor,9050,5,0.02167751998640597,0.009760208858702211,0.14324916014629707,0.14155326184663863,0.2937808984370349
lightgbm_regressor,10000,5,3.956653760001063,0.8284553958227633,0.09714314460325113,0.08402083985856734,0.19735316413971304
lightgbm_regressor,1450,5,2.120505779981613,0.6696279126806466,0.11037425783797516,0.08356611315321061,0.2085674218051281
lightgbm_regressor,2400,5,2.7737033799756317,0.922422932253584,0.10417003909424238,0.08709722646926821,0.22020367186996737
lightgbm_regressor,3350,5,3.0718518600799145,0.8967500338890373,0.10584240235402831,0.10663953125913395,0.22005683595125447
lightgbm_regressor,4300,5,3.3846100400201977,1.1012222906352647,0.10379007817391539,0.09116119135796907,0.21550792971538613
lightgbm_regressor,500,5,0.7071110400371253,0.2850969473581621,0.09562121099406795,0.08981925793705159,0.21193630850575573
lightgbm_regressor,5250,5,3.3150894799735395,1.1182056093971464,0.1015627733522706,0.08690160152582393,0.20804951177524345
lightgbm_regressor,6200,5,3.594505099998787,1.1048476556486722,0.10044400387414498,0.08459312502964167,0.20074429680789763
lightgbm_regressor,7150,5,3.4046663800254464,1.1400714051425076,0.10184785164710775,0.08228689453062543,0.2095879100579623
lightgbm_regressor,8100,5,3.554973079962656,1.0773284455463779,0.10555708986430545,0.07316591791095561,0.1958963476226927
lightgbm_regressor,9050,5,3.7863536599557848,1.1812522183872516,0.09939828128153749,0.08550763668608852,0.2068092576791969
multitask_elastic_net_regressor,10000,5,0.024249979993328452,0.00388286603770708,0.0010551366813160712,0.14062615218790597,0.14926816411389154
multitask_elastic_net_regressor,1450,5,0.005941020045429468,0.0009596915189577787,0.0008391992651013425,0.1417878125266725,0.15209900388981623
multitask_elastic_net_regressor,2400,5,0.007840279955416918,0.0011116815376118888,0.0010517188457015436,0.14635208990512183,0.14591943354389514
multitask_elastic_net_regressor,3350,5,0.01290390002541244,0.004640983026641857,0.0007829883088561473,0.15061933590914123,0.14527367193295504
multitask_elastic_net_regressor,4300,5,0.011866679973900318,0.002253934106711422,0.000659374927636236,0.1426849023118848,0.14632847660323023
multitask_elastic_net_regressor,500,5,0.003379440028220415,0.0008516380284660702,0.000705683623891673,0.14093585932641872,0.15186644536697713
multitask_elastic_net_regressor,5250,5,0.01479406002908945,0.004200002927245338,0.000852929724715068,0.13972412116345367,0.14501351561193587
multitask_elastic_net_regressor,6200,5,0.016462960001081228,0.0028778127141615957,0.0008241016075771768,0.1526642578028259,0.14831818348284287
multitask_elastic_net_regressor,7150,5,0.02021203995682299,0.005890994720677699,0.0006916796337463893,0.14627744149038335,0.14623130855397903
multitask_elastic_net_regressor,8100,5,0.022766420058906077,0.0032751522420257236,0.0005907421382289613,0.15174513673628098,0.14750201171409572
multitask_elastic_net_regressor,9050,5,0.02556473994627595,0.0034265171806155048,0.0008361914296983741,0.146982656315231,0.1542021679597383
multitask_lasso_regressor,10000,5,0.027268380019813777,0.006327581430104822,0.001027382813845179,0.13868994142285374,0.14469042971541057
multitask_lasso_regressor,1450,5,0.005152519932016731,0.0005353422269579086,0.0007614844435011037,0.1445715234240197,0.14365273436851567
multitask_lasso_regressor,2400,5,0.009031579922884702,0.003123882225390089,0.0006763085821148707,0.14013248041919724,0.14659494136139983
multitask_lasso_regressor,3350,5,0.010277520027011633,0.0034759759454345593,0.0006064258286642144,0.14767273446523177,0.1400695311531308
multitask_lasso_regressor,4300,5,0.011834320053458214,0.0029642681393785954,0.0008479882581013953,0.13447966807689227,0.15148353518270596
multitask_lasso_regressor,500,5,0.0038199999369680883,0.0005245364745116552,0.0008344336947629927,0.1508559374997276,0.14610539064960903
multitask_lasso_regressor,5250,5,0.01318753999657929,0.001781504403935184,0.0009614649115974316,0.14501744144581608,0.14329812506730377
multitask_lasso_regressor,6200,5,0.014867959963157772,0.0010380731952850109,0.0006434374427044531,0.14302353506536747,0.13688658195860626
multitask_lasso_regressor,7150,5,0.017274700012058018,0.0017663717722074946,0.0009179687367577571,0.14616294924962858,0.1515885546723439
multitask_lasso_regressor,8100,5,0.02850499995984137,0.009374605360047446,0.0007526562058046693,0.1455350976812042,0.1363261328151566
multitask_lasso_regressor,9050,5,0.026721179904416203,0.010291418630034714,0.0005844921815878479,0.14483746090263594,0.14149138678476447
pls_regressor,10000,5,0.16609252006746827,0.07475082415197588,0.0010155468316952465,0.1441669922314759,0.15150101553444983
pls_regressor,1450,5,0.0256918600294739,0.009580453031886314,0.0008845898264553398,0.14460707034231746,0.14993005866017484
pls_regressor,2400,5,0.031447079963982105,0.007838478518593628,0.0006875780854898039,0.13632476543534722,0.147919921846551
pls_regressor,3350,5,0.048221120005473496,0.01365078202115082,0.0007523829026467865,0.14130253907751467,0.14902136717864778
pls_regressor,4300,5,0.07299993997439742,0.048407413881662455,0.000643378916720394,0.1457288673009316,0.1536571093765815
pls_regressor,500,5,0.012118659913539886,0.0021500696602587835,0.0007129492587409914,0.14108591799413261,0.1474740819503495
pls_regressor,5250,5,0.07281770007684826,0.023671696937615977,0.000727246106180246,0.1396875194132008,0.1444369142063806
pls_regressor,6200,5,0.09488418004475534,0.025442950102835166,0.0006509961622214178,0.14543054680871137,0.14775779300180147
pls_regressor,7150,5,0.11543590002693235,0.041815835421269175,0.0006816405402787495,0.14696582011310966,0.14534435554196534
pls_regressor,8100,5,0.1680771800223738,0.051599193582749316,0.000740859331926913,0.14262847653299104,0.14506697266369883
pls_regressor,9050,5,0.16415530000813305,0.046740011225273013,0.0007584570994367823,0.1443488866698317,0.1415964648458612
random_forest_regressor,10000,5,6.886862639943137,0.6432891326877627,0.13755707027485187,0.06814933590248984,0.21170333993723034
random_forest_regressor,1450,5,0.6084838199894875,0.10209585051005077,0.12194392575111124,0.06849412111478159,0.1879580858258123
random_forest_regressor,2400,5,0.9898434401024133,0.07243367854709477,0.1487583788275515,0.06838921867711178,0.2228022070539737
random_forest_regressor,3350,5,1.5104485000483692,0.204732617998352,0.1220556836869946,0.07085177726366965,0.19616142581071472
