model_key,sample_size,prediction_type,folds,nRMSE_mean,nRMSE_sd,nMAE_mean,macro_R2_mean
knn_regressor,7150,projected,5,0.6304585899644976,0.030935159820871812,0.3861807068236344,0.5916632975820686
knn_regressor,8100,raw,5,0.6147039747995917,0.006225252492881945,0.4260412943140418,0.6230342984383404
knn_regressor,8100,projected,5,0.6315268905621064,0.029456919387992532,0.38304578634442127,0.5982827168132807
knn_regressor,9050,raw,5,0.6121881159783197,0.005963085836736749,0.42273546174577226,0.6256640773014953
knn_regressor,9050,projected,5,0.6278701589605098,0.02773031728992717,0.37991453361542243,0.6047506842561722
lightgbm_regressor,10000,raw,5,0.2491121475270699,0.00777294997149363,0.12025315053351475,0.9375472314072166
lightgbm_regressor,10000,projected,5,0.2498560988589007,0.0073843321680789106,0.12154274188605936,0.9372003930315055
lightgbm_regressor,1450,raw,5,0.3550570713281994,0.02861844626527575,0.17703975998360946,0.8710667584603774
lightgbm_regressor,1450,projected,5,0.37220703014100154,0.03632052525032965,0.18033333718414246,0.8328746069926012
lightgbm_regressor,2400,raw,5,0.33464035562723715,0.028009030765954367,0.15981018572303704,0.8820625705648535
lightgbm_regressor,2400,projected,5,0.3356843727985702,0.028823255879859948,0.16131279920212477,0.8813605248693829
lightgbm_regressor,3350,raw,5,0.3076730300220806,0.02378301029611556,0.14766858319212903,0.903418570768598
lightgbm_regressor,3350,projected,5,0.30840239007153586,0.024440254838819973,0.1492203426716088,0.9030827949176748
lightgbm_regressor,4300,raw,5,0.2906904372238658,0.009987914114746883,0.13879767755174696,0.9142235345889735
lightgbm_regressor,4300,projected,5,0.2913569599847784,0.009883622761786148,0.14028897848316832,0.9138776716663932
lightgbm_regressor,500,raw,5,0.4385979588032985,0.028700130383090067,0.23448883049129648,0.8040101011343967
lightgbm_regressor,500,projected,5,0.44471422912606007,0.028262483231749895,0.2365625604738006,0.7985225908019965
lightgbm_regressor,5250,raw,5,0.2755890031129976,0.009323039439657512,0.1333871989807744,0.9231969611550765
lightgbm_regressor,5250,projected,5,0.27667614381115346,0.00811817069881631,0.13482665307970537,0.9225681386028475
lightgbm_regressor,6200,raw,5,0.2684498866246463,0.01210303574319274,0.12881533499528616,0.9279835336667983
lightgbm_regressor,6200,projected,5,0.26919096753187016,0.011916200301772149,0.13014489399492682,0.9276073576668507
lightgbm_regressor,7150,raw,5,0.26245704539544323,0.007789384405725806,0.12612425655221376,0.9313616793664876
